PM2.5 (ug/m3),CO (mg/m3),Ozone (ug/m3),NOx (ug/m3)
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
8.33,0.37,2.63,1.5
35.25,1.05,7.73,3.15
26.25,1.04,7.75,3.62
26.5,1.0,7.63,3.68
32.75,0.98,7.62,1.5
22.5,0.81,7.65,1.68
4.0,0.83,7.98,2.02
